id,name,x_map,y_map,conn_nodes
1,b1_1,-0.5,1.25,"{2,13}"
2,b1_2,-0.5,0.64,"{3,12}"
3,b1_3,-0.5,0.03,"{4,11}"
4,b1_4,-0.5,-0.58,"{5,10}"
5,b1_5,-0.5,-1.19,"{6,9}"
6,tag_8,0.567,2.835,{15}
